Id,Lable,Name,Sex
PER_65581,PER_65581,Teos,Female
PER_65582,PER_65582,Tharmouthis,Female
PER_72270,PER_72270,Patseous,Male
PER_72769,PER_72769,Ti-chonsou,Female
PER_163_116635,PER_163_116635,Espnoutis,Male
PER_164_116634,PER_164_116634,Teos,Male
PER_46315_49600_51296,PER_46315_49600_51296,Onnophris,Male
PER_46316_49601_51297,PER_46316_49601_51297,Sisouchos,Male
PER_46317,PER_46317,Harpekysis,Male
PER_46318,PER_46318,Sihyris,Male
PER_46319,PER_46319,Spemminis,Male
PER_46320,PER_46320,Espnoutis,Male
PER_46321,PER_46321,Petesouchos,Male
PER_46322,PER_46322,Sochotes,Male
PER_46323,PER_46323,Inaroys,Male
PER_46324,PER_46324,Thotortaios,Male
PER_46325,PER_46325,Harsiesis,Male
PER_46326,PER_46326,Minra?,Male
PER_46327,PER_46327,Nechoutes,Male
PER_46328,PER_46328,Ptolemaios,Male
PER_46329,PER_46329,Harpaesis,Male
PER_46330,PER_46330,Nechoutes,Male
PER_46331,PER_46331,Nechoutes,Male
PER_46332,PER_46332,Onnophris,Male
PER_46333,PER_46333,Har…,Male
PER_46334,PER_46334,Spemminis,Male
PER_46335,PER_46335,Herianoupis,Male
PER_46336,PER_46336,Psenminis,Male
PER_46337,PER_46337,Patseous,Male
PER_46338,PER_46338,Nechoutes,Male
PER_46339,PER_46339,NN,Male
PER_46340,PER_46340,Spemminis,Male
PER_46341,PER_46341,NN,Male
PER_46342,PER_46342,Peteharsomtous,Male
PER_46343,PER_46343,P…,Male
PER_46344,PER_46344,Inaroys,Male
PER_46345,PER_46345,Horos,Male
PER_46346,PER_46346,Amenothes,Male
PER_19614,PER_19614,Horos,Male
PER_19615,PER_19615,Petehyris,Male
PER_19616,PER_19616,Nechet-ou-s,Female
PER_73587,PER_73587,Senamounis,Female
PER_78227,PER_78227,Psenamounis,Male
PER_80751,PER_80751,Senpoeris,Female
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_73589,PER_73589,Patseous,Male
PER_78229,PER_78229,Phibis,Male
PER_73590,PER_73590,Pakemis,Male
PER_167_10657_75681,PER_167_10657_75681,Nechtminis,Male
PER_168,PER_168,Nechtminis,Male
PER_43526,PER_43526,Sisouchos,Male
PER_43527,PER_43527,Onnophris,Male
PER_43528,PER_43528,Pelaias,Male
PER_43529,PER_43529,Sisouchos,Male
PER_43530,PER_43530,Pakebkis,Male
PER_43531,PER_43531,Sochotes,Male
PER_43532,PER_43532,Patseous,Male
PER_43533,PER_43533,Pates,Male
PER_43534,PER_43534,Peteharsomtous,Male
PER_43535,PER_43535,Psenapathes,Male
PER_43536,PER_43536,Pelaias,Male
PER_43537,PER_43537,Patseous,Male
PER_43538,PER_43538,Psenesis,Male
PER_43539,PER_43539,Pates,Male
PER_43540,PER_43540,Horos,Male
PER_43541,PER_43541,Pates,Male
PER_43542,PER_43542,NN,Male
PER_43543,PER_43543,NN,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_65579,PER_65579,Tapremithis,Female
PER_65596,PER_65596,Takoibis,Female
PER_72278,PER_72278,Petearensnouphis,Male
PER_72777,PER_72777,Ta-shouti,Female
PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,PER_222_64893_73113_75668_75672_79411_117843_297462_351313_430889,Peteharsomtous,Male
PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,PER_223_11272_62895_70046_75676_77898_77921_79405_116633_117840_117842_331095_351314_430888,Pakebkis,Male
PER_12508,PER_12508,Pnepheros,Male
PER_73540,PER_73540,Pelaias,Male
PER_8018,PER_8018,Esoeris,Female
PER_73541,PER_73541,Pates,Male
PER_73542,PER_73542,Tahyris,Female
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_54452_73543_78230,PER_54452_73543_78230,Pates,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_15059,PER_15059,Psenmenches,Male
PER_19301,PER_19301,Panechotes,Male
PER_73545,PER_73545,Harpaesis,Male
PER_78207,PER_78207,Panachtes,Male
PER_73546,PER_73546,Horos,Male
PER_78208,PER_78208,Phentenmoutes,Male
